,core_capital,supplementary_capital,price,number_of_shares,capitalization,core_capital_per_share,supplementary_capital_per_share
CTX,417.0,170031.0,143.50000011878885,4209149,604012882,9.906990700495516e-05,0.04039557639798449
CZERWONA-TOREBKA,15005.0,284925.0,0.6300000055980545,75026066,47266422,0.0001999971583209494,0.0037976801289301243
DAD,2321.0,87933.0,10.7,11604850,124171895,0.00020000258512604642,0.0075772629547129
DAT,513.0,171967.0,68.9799999532436,5132988,354073512,9.994178829173183e-05,0.033502318727415686
DEBICA,110422.0,327776.0,62.2,13802750,858531050,0.008,0.023747151835684918
DECORA,527.0,157271.0,35.500000047406566,10547063,374420737,4.996651674499337e-05,0.014911354943077519
DEKPOL,8363.0,26309.0,31.100000011958077,8362549,260075274,0.00100005393092465,0.0031460503250862865
DELKO,5980.0,0.0,11.3,11960000,135148000,0.0005,0.0
DGA,9042.0,8056.0,7.500000442368654,1130279,8477093,0.007999794740944493,0.007127443755037473
4FUN-MEDIA,4239.0,13390.0,13.0,4238962,55106506,0.001000008964458752,0.0031587921760091267
DNP,9804.0,3512022.0,391.10000999592,98040000,38343444980,0.0001,0.03582233782129743
DOK,137.0,184.0,21.0,1410000,29610000,9.716312056737588e-05,0.00013049645390070922
DOM-DEVELOPMENT,25548.0,934848.0,127.0,25598422,3250999594,0.000998030269209563,0.03651975110028267
DROZAPOL-PROFIL,30593.0,18567.0,6.76,6118550,41361398,0.005000040859353932,0.0030345424978140247
DTR,249.0,4527.0,12.4,2485775,30823610,0.00010016996711287224,0.0018211624141364364
DVL,447558.0,758860.0,3.0999999997765655,447558311,1387430764,0.0009999993051184788,0.0016955555987876627
ESOTIQ-HENDERSON,224.0,14756.0,28.9,2233500,64548150,0.00010029102305798074,0.006606671143944482
EAT,103178.0,780868.0,18.33999999899797,219554183,4026623716,0.00046994322125941916,0.0035566072544379627
ECHO-INVESTMENT,20635.0,1081574.0,3.3149999992003694,412690582,1368069279,5.000114104857377e-05,0.0026207867278153683
ED-INVEST,619.0,59504.0,4.080000003229274,12386687,50537683,4.997300731018714e-05,0.004803867248764742
EKO-EXPORT,1315.0,33716.0,1.5600000212934848,13149562,20513317,0.00010000333090942497,0.0025640397756214236
EFEKT,4995.0,0.0,6.9,4995450,34468605,0.000999909918025403,0.0
EUROHOLD-BULGARIA,624653.0,345370.0,3.62,260500000,943010000,0.0023979001919385797,0.0013257965451055661
ELKOP,78836.0,1538.0,0.3819999913132612,46047200,17590030,0.0017120693549227749,3.340051078024288e-05
ELEKTROTIM,9983.0,43440.0,9.400000040068079,9983009,93840285,0.0009999990984682072,0.004351393452615339
ELZAB,22143.0,78305.0,1.9,16137050,30660395,0.0013721838873895786,0.004852497823332021
EMA,600.0,118314.0,33.900000049972654,6003283,203511294,9.99453132560967e-05,0.01970821632096971
EMC,165787.0,75387.0,9.600000009650962,41446646,397887802,0.00400001003700034,0.0018188926553912228
ENA,676306.0,3348670.0,6.125000000707907,529731093,3244602945,0.0012766968164355042,0.006321452609163721
ENEL-MED,28280.0,98915.0,13.699999989391902,28280279,387439822,0.0009999901344679095,0.0034976670491829306
ENERGA,4522000.0,1661000.0,6.799999999516986,414067114,2815656375,0.010920934909117172,0.004011426997798236
ENERGOINSTAL,1800.0,111677.0,0.604,18000000,10872000,0.0001,0.006204277777777778
ENERGOAPARATURA,3935.0,14263.0,1.8600000040657179,19676722,36598703,0.0001999824970846262,0.0007248666724061051
ENT,17544.0,117983.0,34.1,17543750,598241875,0.001000014250089063,0.006725073031706448
ERBUD,1210.0,262074.0,35.30000003306741,12096502,427006521,0.00010002891745068119,0.02166527149749572
ERG,17520.0,11495.0,43.60000022830581,876018,38194385,0.01999958904954008,0.013121876491122328
EST,14.0,570.0,1.2769999883777712,16606109,21206001,8.430632365474657e-07,3.4324717488003965e-05
EUROTEL,750.0,46621.0,79.6,3748255,298361098,0.00020009310999385046,0.01243805450803107
EUROPEJSKIE-CENTRUM-ODSZKODOWAN,560.0,10015.0,1.215,5600000,6804000,0.0001,0.001788392857142857
EUROCASH,139163.0,582959.0,13.60999999669453,139163286,1894012322,0.0009999979448602557,0.004189028706896156
