,capitalization,core_capital,number_of_shares,price,supplementary_capital,core_capital_per_share,supplementary_capital_per_share,small_pred,large_pred
CRJ,574123420,679,679436,845,3426,"0,0009993582912886","0,0050424175345433","-0,34712744","-0,2787743"
BCS,193931500,414,4135000,"46,9",9447,"0,0001001209189842","0,0022846432889963","-0,17991179","-0,45121774"
MERCOR,292814605,3915,15658535,"18,7000000319315",106202,"0,0002500233897998","0,0067823714031995","-0,3113821","-0,33770597"
COAL-ENERGY,60404923,1712,45011120,"1,34199999911133",295068,"0,000038","0,0065554467429381","-0,27641314","-0,38656548"
MOC,291122500,140,14030000,"20,75",101198,"0,00000998","0,0072129722024233","-0,2976013","-0,3733013"
OT-LOGISTICS,357596694,3144,13098780,"27,3",10736,"0,0002400223532267","0,0008196183155988","-0,2777401","-0,39423615"
TATRY-MOUNTAIN-RESORTS,838399750,194509,6707198,125,126068,"0,0290000384661374","0,018795926406228","-0,41006234","-0,29471254"
POLENERGIA,5223935637,133604,66802246,"78,1999999970061",1515942,"0,0019999926349781","0,0226929795144911","-0,43561202","-0,2900446"
STALPRODUKT,1528993158,11161,5580267,274,8416,"0,0020000835085489","0,0015081715624001","-0,4910939","-0,2674846"
OPG,3614895980,13145,1314507629,"2,75000000019019",1311692,"0,00001","0,0009978580352537","-0,2551256","-0,62337697"
